stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
466,466,"Main St & 12th Ave N",47.810431,-122.358818,0,
468,468,"Main St & 86th Pl W",47.810455,-122.350907,0,
473,473,"Olive Way & 6th Ave",47.613021,-122.336433,0,
478,478,"Puget Dr & Olympic View Dr",47.821437,-122.363574,0,
479,479,"Seattle Hill Rd & 25th Ave SE",47.852961,-122.199153,0,
480,480,"Seattle Hill Rd & Seattle Hill Rd",47.851201,-122.205037,0,
482,482,"Seattle Hill Rd & 2900 Block",47.856318,-122.193553,0,
483,483,"Seeman St & Givens Ave",48.255181,-121.603204,0,
488,488,"Edmonds Way & 102nd Pl W",47.792075,-122.369740,0,
489,489,"Edmonds Way & 232nd Pl SW",47.788256,-122.354650,0,
491,491,"Edmonds Way & 236th St SW",47.783826,-122.352773,0,
493,493,"Edmonds Way & 95th Pl W",47.791656,-122.360310,0,
499,499,"Hwy 530 & Ramstad Rd",48.268359,-121.960897,0,
500,500,"Hwy 530 & C-Post Rd",48.277083,-121.817740,0,
501,501,"Hwy 530 & 379th Ave NE",48.268654,-121.718551,0,
502,502,"Hwy 530 & French Creek Rd",48.278349,-121.761969,0,
504,504,"Hwy 530 & 103rd Ave NE",48.226264,-122.091479,0,
505,505,"Hwy 530 & 115th Ave NE",48.230066,-122.079886,0,
506,506,"Hwy 530 & 119th Ave NE",48.233942,-122.069352,0,
507,507,"Hwy 530 & 171st Ave NE",48.270412,-122.004002,0,
508,508,"Hwy 530 & 179th Ave NE",48.273533,-121.984223,0,
510,510,"Hwy 530 & 304th St NE",48.273503,-121.914881,0,
515,515,"Hwy 530 & Oso Loop Rd",48.272157,-121.900168,0,
516,516,"Hwy 530 & Ramstad Rd",48.268784,-121.954492,0,
517,517,"Hwy 530 & Tom Creek Rd",48.268848,-121.726468,0,
518,518,"Hwy 530 & Arlington Heights Rd",48.204553,-122.117430,0,
519,519,"Hwy 530 & 294th St NE",48.264087,-122.021014,0,
520,520,"Hwy 530 & Boulder Creek Dr",48.278150,-121.778196,0,
521,521,"Hwy 530 & 139th Ave NE",48.247249,-122.042116,0,
522,522,"Hwy 530 & 310th St NE",48.276823,-121.801263,0,
523,523,"Hwy 530 & 411th Ave NE",48.269133,-121.675949,0,
524,524,"Hwy 530 & Hillis Rd",48.268629,-122.009103,0,
525,525,"Hwy 530 & Squire Creek Park Rd",48.270711,-121.669809,0,
526,526,"Hwy 530 & Powerline Rd",48.263021,-121.632856,0,
527,527,"Hwy 530 & 171st Ave NE",48.273261,-121.999341,0,
528,528,"Hwy 530 & Whitman Rd",48.271635,-121.889261,0,
529,529,"Hwy 530 & 350th Dr NE",48.277744,-121.755848,0,
532,532,"Hwy 92 & 127th Dr NE",48.032011,-122.058667,0,
534,534,"Hwy 92 & 44th St NE",48.036216,-122.049443,0,
536,536,"Hwy 92 & 64th St NE",48.057196,-122.026692,0,
537,537,"Hwy 92 & Crooked Mile Rd",48.078991,-122.001191,0,
538,538,"Hwy 92 & 161st Ave NE",48.067583,-122.015066,0,
539,539,"Hwy 92 & 44th St NE",48.039702,-122.045496,0,
540,540,"Hwy 92 & 75th St NE",48.063050,-122.020146,0,
