shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.863440,-122.282670,90057,5671.75
101:179,47.863294,-122.282804,90058,5690.77
101:179,47.863190,-122.282900,100002,5704.45
101:179,47.863100,-122.282980,100003,5716.10
101:179,47.862960,-122.283110,100004,5734.45
101:179,47.862920,-122.283150,100005,5739.81
101:179,47.862770,-122.283290,100006,5759.50
101:179,47.862590,-122.283460,100007,5783.24
101:179,47.862330,-122.283710,100008,5817.69
101:179,47.862260,-122.283770,100009,5826.65
101:179,47.862210,-122.283820,100010,5833.35
101:179,47.862060,-122.283960,100011,5853.07
101:179,47.861910,-122.284100,100012,5872.76
101:179,47.861850,-122.284150,100013,5880.41
101:179,47.861790,-122.284210,100014,5888.46
101:179,47.861650,-122.284330,100015,5906.41
101:179,47.861620,-122.284360,100016,5910.41
101:179,47.861490,-122.284480,100017,5927.45
101:179,47.861400,-122.284560,100018,5939.09
101:179,47.861260,-122.284690,100019,5957.47
101:179,47.861150,-122.284790,100020,5971.79
101:179,47.861000,-122.284940,100021,5991.91
101:179,47.860920,-122.285010,100022,6002.24
101:179,47.860770,-122.285150,100023,6021.93
101:179,47.860480,-122.285420,100024,6060.00
101:179,47.860450,-122.285450,100025,6064.03
101:179,47.860441,-122.285458,100026,6065.18
101:179,47.860260,-122.285630,110002,6089.05
101:179,47.860010,-122.285860,110003,6121.76
101:179,47.859550,-122.286290,110004,6182.20
101:179,47.859390,-122.286440,110005,6203.23
101:179,47.859240,-122.286580,110006,6222.92
101:179,47.859070,-122.286740,110007,6245.29
101:179,47.858930,-122.286870,110008,6263.64
101:179,47.858730,-122.287060,110009,6290.04
101:179,47.858550,-122.287230,110010,6313.75
101:179,47.858360,-122.287410,110011,6338.80
101:179,47.858130,-122.287620,110012,6368.80
101:179,47.858010,-122.287730,110013,6384.49
101:179,47.857740,-122.287980,110014,6419.85
101:179,47.857580,-122.288130,110015,6440.88
101:179,47.857360,-122.288330,110016,6469.56
101:179,47.856930,-122.288740,110017,6526.38
101:179,47.856650,-122.289000,110018,6563.08
101:179,47.856457,-122.289179,110019,6588.34
101:179,47.856220,-122.289400,120002,6619.46
101:179,47.856130,-122.289490,120003,6631.53
101:179,47.855390,-122.290170,120004,6728.28
101:179,47.855290,-122.290270,120005,6741.66
101:179,47.855060,-122.290480,120006,6771.68
101:179,47.854990,-122.290550,120007,6781.07
101:179,47.854660,-122.290860,120008,6824.47
101:179,47.854450,-122.291040,120009,6851.42
101:179,47.854400,-122.291090,120010,6858.12
101:179,47.854010,-122.291410,120011,6907.65
101:179,47.853690,-122.291640,120012,6947.15
101:179,47.853640,-122.291680,120013,6953.49
101:179,47.853530,-122.291760,120014,6967.09
101:179,47.853300,-122.291900,120015,6994.73
101:179,47.853080,-122.292040,120016,7021.31
101:179,47.852950,-122.292110,120017,7036.70
101:179,47.852610,-122.292280,120018,7076.60
101:179,47.852530,-122.292310,120019,7085.81
101:179,47.852340,-122.292390,120020,7107.75
101:179,47.852260,-122.292420,120021,7116.93
101:179,47.851810,-122.292620,120022,7169.17
101:179,47.851710,-122.292660,120023,7180.69
101:179,47.851692,-122.292667,120024,7182.73
101:179,47.851570,-122.292710,130002,7196.69
101:179,47.851340,-122.292800,130003,7223.15
101:179,47.851280,-122.292830,130004,7230.19
101:179,47.851070,-122.292910,130005,7254.30
101:179,47.850730,-122.293040,130006,7293.35
